,arg1,arg2,verb,sentence,verb_idx,label,new_column
10,result,,accommodate, The scientists had to accommodate the new results with the existing theories .,4,1,"[(' ', 'SPACE'), ('The', 'DET'), ('scientists', 'NOUN'), ('had', 'VERB'), ('to', 'PART'), ('accommodate', 'VERB'), ('the', 'DET'), ('new', 'ADJ'), ('results', 'NOUN'), ('with', 'ADP'), ('the', 'DET'), ('existing', 'VERB'), ('theories', 'NOUN'), ('.', 'PUNCT')]"
11,submission,,acknowledge, The program committee acknowledged the submission of the authors of the paper .,3,0,"[(' ', 'SPACE'), ('The', 'DET'), ('program', 'NOUN'), ('committee', 'NOUN'), ('acknowledged', 'VERB'), ('the', 'DET'), ('submission', 'NOUN'), ('of', 'ADP'), ('the', 'DET'), ('authors', 'NOUN'), ('of', 'ADP'), ('the', 'DET'), ('paper', 'NOUN'), ('.', 'PUNCT')]"
12,colleague,,acknowledge, He never acknowledges his colleagues when they run into him in the hallway .,2,0,"[(' ', 'SPACE'), ('He', 'PRON'), ('never', 'ADV'), ('acknowledges', 'VERB'), ('his', 'PRON'), ('colleagues', 'NOUN'), ('when', 'SCONJ'), ('they', 'PRON'), ('run', 'VERB'), ('into', 'ADP'), ('him', 'PRON'), ('in', 'ADP'), ('the', 'DET'), ('hallway', 'NOUN'), ('.', 'PUNCT')]"
13,kindness,,acknowledge, We must acknowledge the kindness she showed towards us .,2,0,"[(' ', 'SPACE'), ('We', 'PRON'), ('must', 'AUX'), ('acknowledge', 'VERB'), ('the', 'DET'), ('kindness', 'NOUN'), ('she', 'PRON'), ('showed', 'VERB'), ('towards', 'ADP'), ('us', 'PRON'), ('.', 'PUNCT')]"
14,deed,,acknowledge, acknowledge the deed .,0,0,"[(' ', 'SPACE'), ('acknowledge', 'VERB'), ('the', 'DET'), ('deed', 'NOUN'), ('.', 'PUNCT')]"
15,prince,,acknowledge, The Crown Prince was acknowledged as the true heir to the throne .,4,0,"[(' ', 'SPACE'), ('The', 'DET'), ('Crown', 'PROPN'), ('Prince', 'PROPN'), ('was', 'AUX'), ('acknowledged', 'VERB'), ('as', 'ADP'), ('the', 'DET'), ('true', 'ADJ'), ('heir', 'NOUN'), ('to', 'ADP'), ('the', 'DET'), ('throne', 'NOUN'), ('.', 'PUNCT')]"
16,resident,,adhere, The residents of this village adhered to Catholicism .,5,1,"[(' ', 'SPACE'), ('The', 'DET'), ('residents', 'NOUN'), ('of', 'ADP'), ('this', 'DET'), ('village', 'NOUN'), ('adhered', 'VERB'), ('to', 'ADP'), ('Catholicism', 'PROPN'), ('.', 'PUNCT')]"
17,wallpaper,,adhere, Will this wallpaper adhere to the wall ?,3,0,"[(' ', 'SPACE'), ('Will', 'AUX'), ('this', 'DET'), ('wallpaper', 'NOUN'), ('adhere', 'VERB'), ('to', 'ADP'), ('the', 'DET'), ('wall', 'NOUN'), ('?', 'PUNCT')]"
18,steering,,answer, The steering of my new car answers to the slightest touch .,6,1,"[(' ', 'SPACE'), ('The', 'DET'), ('steering', 'NOUN'), ('of', 'ADP'), ('my', 'PRON'), ('new', 'ADJ'), ('car', 'NOUN'), ('answers', 'VERB'), ('to', 'ADP'), ('the', 'DET'), ('slightest', 'ADJ'), ('touch', 'NOUN'), ('.', 'PUNCT')]"
19,telephone,,answer, answer the telephone .,0,0,"[(' ', 'SPACE'), ('answer', 'VERB'), ('the', 'DET'), ('telephone', 'NOUN'), ('.', 'PUNCT')]"
20,question,,answer, The question concerning the meaning of life can not be answered .,10,0,"[(' ', 'SPACE'), ('The', 'DET'), ('question', 'NOUN'), ('concerning', 'VERB'), ('the', 'DET'), ('meaning', 'NOUN'), ('of', 'ADP'), ('life', 'NOUN'), ('can', 'AUX'), ('not', 'PART'), ('be', 'AUX'), ('answered', 'VERB'), ('.', 'PUNCT')]"
21,defendant,,answer, The defendant answered to all the charges of the prosecution .,2,0,"[(' ', 'SPACE'), ('The', 'DET'), ('defendant', 'NOUN'), ('answered', 'VERB'), ('to', 'ADP'), ('all', 'DET'), ('the', 'DET'), ('charges', 'NOUN'), ('of', 'ADP'), ('the', 'DET'), ('prosecution', 'NOUN'), ('.', 'PUNCT')]"
22,mountain,,ascend, We ascended the mountain .,1,0,"[(' ', 'SPACE'), ('We', 'PRON'), ('ascended', 'VERB'), ('the', 'DET'), ('mountain', 'NOUN'), ('.', 'PUNCT')]"
23,inheritance,,ascend, Inheritance may not ascend linearly .,3,1,"[(' ', 'SPACE'), ('Inheritance', 'PROPN'), ('may', 'AUX'), ('not', 'PART'), ('ascend', 'VERB'), ('linearly', 'ADV'), ('.', 'PUNCT')]"
24,path,,ascend, The path ascended to the top of the hill .,2,0,"[(' ', 'SPACE'), ('The', 'DET'), ('path', 'NOUN'), ('ascended', 'VERB'), ('to', 'ADP'), ('the', 'DET'), ('top', 'NOUN'), ('of', 'ADP'), ('the', 'DET'), ('hill', 'NOUN'), ('.', 'PUNCT')]"
25,poland,,attack," Hitler attacked Poland on September 1 , 1939 and started World War II .",1,0,"[(' ', 'SPACE'), ('Hitler', 'PROPN'), ('attacked', 'VERB'), ('Poland', 'PROPN'), ('on', 'ADP'), ('September', 'PROPN'), ('1', 'NUM'), (',', 'PUNCT'), ('1939', 'NUM'), ('and', 'CCONJ'), ('started', 'VERB'), ('World', 'PROPN'), ('War', 'PROPN'), ('II', 'PROPN'), ('.', 'PUNCT')]"
26,speaker,,attack, The editors of the left - leaning paper attacked the new House Speaker .,8,1,"[(' ', 'SPACE'), ('The', 'DET'), ('editors', 'NOUN'), ('of', 'ADP'), ('the', 'DET'), ('left', 'ADV'), ('-', 'PUNCT'), ('leaning', 'VERB'), ('paper', 'NOUN'), ('attacked', 'VERB'), ('the', 'DET'), ('new', 'ADJ'), ('House', 'PROPN'), ('Speaker', 'PROPN'), ('.', 'PUNCT')]"
27,village,,attack, The Serbs attacked the village at night .,2,0,"[(' ', 'SPACE'), ('The', 'DET'), ('Serbs', 'PROPN'), ('attacked', 'VERB'), ('the', 'DET'), ('village', 'NOUN'), ('at', 'ADP'), ('night', 'NOUN'), ('.', 'PUNCT')]"
28,problem,,attack, I attacked the problem as soon as I got out of bed .,1,1,"[(' ', 'SPACE'), ('I', 'PRON'), ('attacked', 'VERB'), ('the', 'DET'), ('problem', 'NOUN'), ('as', 'ADV'), ('soon', 'ADV'), ('as', 'SCONJ'), ('I', 'PRON'), ('got', 'VERB'), ('out', 'ADP'), ('of', 'ADP'), ('bed', 'NOUN'), ('.', 'PUNCT')]"
29,cancer,,attack, The cancer cells are attacking his liver .,4,1,"[(' ', 'SPACE'), ('The', 'DET'), ('cancer', 'NOUN'), ('cells', 'NOUN'), ('are', 'AUX'), ('attacking', 'VERB'), ('his', 'PRON'), ('liver', 'NOUN'), ('.', 'PUNCT')]"
30,vienna,,besiege, The Turks besieged Vienna .,2,0,"[(' ', 'SPACE'), ('The', 'DET'), ('Turks', 'PROPN'), ('besieged', 'VERB'), ('Vienna', 'PROPN'), ('.', 'PUNCT')]"
31,problem,,besiege, She was besieged by so many problems that she got discouraged .,2,1,"[(' ', 'SPACE'), ('She', 'PRON'), ('was', 'AUX'), ('besieged', 'VERB'), ('by', 'ADP'), ('so', 'ADV'), ('many', 'ADJ'), ('problems', 'NOUN'), ('that', 'PRON'), ('she', 'PRON'), ('got', 'AUX'), ('discouraged', 'VERB'), ('.', 'PUNCT')]"
32,press,,besiege, The press photographers besieged the movie star .,3,1,"[(' ', 'SPACE'), ('The', 'DET'), ('press', 'NOUN'), ('photographers', 'NOUN'), ('besieged', 'VERB'), ('the', 'DET'), ('movie', 'NOUN'), ('star', 'NOUN'), ('.', 'PUNCT')]"
33,foot,,bind, The Chinese would bind the feet of their women .,3,0,"[(' ', 'SPACE'), ('The', 'DET'), ('Chinese', 'PROPN'), ('would', 'AUX'), ('bind', 'VERB'), ('the', 'DET'), ('feet', 'NOUN'), ('of', 'ADP'), ('their', 'PRON'), ('women', 'NOUN'), ('.', 'PUNCT')]"
34,book,,bind, They bind their books in leather .,1,0,"[(' ', 'SPACE'), ('They', 'PRON'), ('bind', 'VERB'), ('their', 'PRON'), ('books', 'NOUN'), ('in', 'ADP'), ('leather', 'NOUN'), ('.', 'PUNCT')]"
35,oxygen,,bind, The hydrogen binds the oxygen .,2,1,"[(' ', 'SPACE'), ('The', 'DET'), ('hydrogen', 'NOUN'), ('binds', 'VERB'), ('the', 'DET'), ('oxygen', 'NOUN'), ('.', 'PUNCT')]"
36,meteor,,blaze, Meteors blazed across the atmosphere .,1,1,"[(' ', 'SPACE'), ('Meteors', 'PROPN'), ('blazed', 'VERB'), ('across', 'ADP'), ('the', 'DET'), ('atmosphere', 'NOUN'), ('.', 'PUNCT')]"
37,pine,,blaze, The summer sun alone can cause a pine to blaze .,9,0,"[(' ', 'SPACE'), ('The', 'DET'), ('summer', 'NOUN'), ('sun', 'NOUN'), ('alone', 'ADV'), ('can', 'AUX'), ('cause', 'VERB'), ('a', 'DET'), ('pine', 'NOUN'), ('to', 'PART'), ('blaze', 'VERB'), ('.', 'PUNCT')]"
38,spaceship,,blaze, The spaceship blazed out into space .,2,1,"[(' ', 'SPACE'), ('The', 'DET'), ('spaceship', 'NOUN'), ('blazed', 'VERB'), ('out', 'ADP'), ('into', 'ADP'), ('space', 'NOUN'), ('.', 'PUNCT')]"
39,foot,,blister, Her feet blistered during the long hike .,2,0,"[(' ', 'SPACE'), ('Her', 'PRON'), ('feet', 'NOUN'), ('blistered', 'VERB'), ('during', 'ADP'), ('the', 'DET'), ('long', 'ADJ'), ('hike', 'NOUN'), ('.', 'PUNCT')]"
40,administration,,blister, The Senator blistered the administration in his speech on Friday .,2,1,"[(' ', 'SPACE'), ('The', 'DET'), ('Senator', 'PROPN'), ('blistered', 'VERB'), ('the', 'DET'), ('administration', 'NOUN'), ('in', 'ADP'), ('his', 'PRON'), ('speech', 'NOUN'), ('on', 'ADP'), ('Friday', 'PROPN'), ('.', 'PUNCT')]"
41,haze,,blur, The haze blurs the hills .,2,0,"[(' ', 'SPACE'), ('The', 'DET'), ('haze', 'NOUN'), ('blurs', 'VERB'), ('the', 'DET'), ('hills', 'NOUN'), ('.', 'PUNCT')]"
42,vision,,blur, The fog blurs my vision .,2,0,"[(' ', 'SPACE'), ('The', 'DET'), ('fog', 'NOUN'), ('blurs', 'VERB'), ('my', 'PRON'), ('vision', 'NOUN'), ('.', 'PUNCT')]"
43,distinction,,blur, The distinction between the two theories blurred .,6,1,"[(' ', 'SPACE'), ('The', 'DET'), ('distinction', 'NOUN'), ('between', 'ADP'), ('the', 'DET'), ('two', 'NUM'), ('theories', 'NOUN'), ('blurred', 'VERB'), ('.', 'PUNCT')]"
44,listener,,bolt, The listeners bolted when he discussed his strange ideas .,2,1,"[(' ', 'SPACE'), ('The', 'DET'), ('listeners', 'NOUN'), ('bolted', 'VERB'), ('when', 'SCONJ'), ('he', 'PRON'), ('discussed', 'VERB'), ('his', 'PRON'), ('strange', 'ADJ'), ('ideas', 'NOUN'), ('.', 'PUNCT')]"
45,food,,bolt, Do n't bolt your food !,2,1,"[(' ', 'SPACE'), ('Do', 'AUX'), (""n't"", 'PART'), ('bolt', 'VERB'), ('your', 'PRON'), ('food', 'NOUN'), ('!', 'PUNCT')]"
46,economy,,boost, The tax cut will boost the economy .,4,1,"[(' ', 'SPACE'), ('The', 'DET'), ('tax', 'NOUN'), ('cut', 'NOUN'), ('will', 'AUX'), ('boost', 'VERB'), ('the', 'DET'), ('economy', 'NOUN'), ('.', 'PUNCT')]"
47,voltage,,boost, Boost the voltage in an electrical circuit .,0,0,"[(' ', 'SPACE'), ('Boost', 'VERB'), ('the', 'DET'), ('voltage', 'NOUN'), ('in', 'ADP'), ('an', 'DET'), ('electrical', 'ADJ'), ('circuit', 'NOUN'), ('.', 'PUNCT')]"
48,singer,,boost, The singer had to be boosted onto the stage by a special contraption .,5,0,"[(' ', 'SPACE'), ('The', 'DET'), ('singer', 'NOUN'), ('had', 'VERB'), ('to', 'PART'), ('be', 'AUX'), ('boosted', 'VERB'), ('onto', 'ADP'), ('the', 'DET'), ('stage', 'NOUN'), ('by', 'ADP'), ('a', 'DET'), ('special', 'ADJ'), ('contraption', 'NOUN'), ('.', 'PUNCT')]"
49,ball,,bounce, The rubber ball bounced .,3,0,"[(' ', 'SPACE'), ('The', 'DET'), ('rubber', 'NOUN'), ('ball', 'NOUN'), ('bounced', 'VERB'), ('.', 'PUNCT')]"
50,people,,bounce, The ex - boxer 's job is to bounce people who want to enter this private club .,8,1,"[(' ', 'SPACE'), ('The', 'DET'), ('ex', 'NOUN'), ('-', 'PUNCT'), ('boxer', 'NOUN'), (""'s"", 'PART'), ('job', 'NOUN'), ('is', 'AUX'), ('to', 'PART'), ('bounce', 'VERB'), ('people', 'NOUN'), ('who', 'PRON'), ('want', 'VERB'), ('to', 'PART'), ('enter', 'VERB'), ('this', 'DET'), ('private', 'ADJ'), ('club', 'NOUN'), ('.', 'PUNCT')]"
51,government,,bow, The government bowed to the military pressure .,2,1,"[(' ', 'SPACE'), ('The', 'DET'), ('government', 'NOUN'), ('bowed', 'VERB'), ('to', 'ADP'), ('the', 'DET'), ('military', 'ADJ'), ('pressure', 'NOUN'), ('.', 'PUNCT')]"
52,life,,breathe, He breathed new life into the old house .,1,1,"[(' ', 'SPACE'), ('He', 'PRON'), ('breathed', 'VERB'), ('new', 'ADJ'), ('life', 'NOUN'), ('into', 'ADP'), ('the', 'DET'), ('old', 'ADJ'), ('house', 'NOUN'), ('.', 'PUNCT')]"
53,fabric,,breathe, Our new synthetic fabric breathes and is perfect for summer wear .,4,1,"[(' ', 'SPACE'), ('Our', 'PRON'), ('new', 'ADJ'), ('synthetic', 'ADJ'), ('fabric', 'NOUN'), ('breathes', 'NOUN'), ('and', 'CCONJ'), ('is', 'AUX'), ('perfect', 'ADJ'), ('for', 'ADP'), ('summer', 'NOUN'), ('wear', 'NOUN'), ('.', 'PUNCT')]"
54,hair,,brush, Johnson brushed the hairs from his jacket .,1,0,"[(' ', 'SPACE'), ('Johnson', 'PROPN'), ('brushed', 'VERB'), ('the', 'DET'), ('hairs', 'NOUN'), ('from', 'ADP'), ('his', 'PRON'), ('jacket', 'NOUN'), ('.', 'PUNCT')]"
55,wall,,brush, He brushed the wall lightly .,1,0,"[(' ', 'SPACE'), ('He', 'PRON'), ('brushed', 'VERB'), ('the', 'DET'), ('wall', 'NOUN'), ('lightly', 'ADV'), ('.', 'PUNCT')]"
56,suit,,brush, She brushed the suit before hanging it back into the closet .,1,0,"[(' ', 'SPACE'), ('She', 'PRON'), ('brushed', 'VERB'), ('the', 'DET'), ('suit', 'NOUN'), ('before', 'ADP'), ('hanging', 'VERB'), ('it', 'PRON'), ('back', 'ADV'), ('into', 'ADP'), ('the', 'DET'), ('closet', 'NOUN'), ('.', 'PUNCT')]"
57,suspense,,build, Suspense was building right from the beginning of the opera .,2,1,"[(' ', 'SPACE'), ('Suspense', 'PROPN'), ('was', 'AUX'), ('building', 'VERB'), ('right', 'ADV'), ('from', 'ADP'), ('the', 'DET'), ('beginning', 'NOUN'), ('of', 'ADP'), ('the', 'DET'), ('opera', 'NOUN'), ('.', 'PUNCT')]"
58,school,,build, The government is building new schools in this state .,3,0,"[(' ', 'SPACE'), ('The', 'DET'), ('government', 'NOUN'), ('is', 'AUX'), ('building', 'VERB'), ('new', 'ADJ'), ('schools', 'NOUN'), ('in', 'ADP'), ('this', 'DET'), ('state', 'NOUN'), ('.', 'PUNCT')]"
59,nation,,build, build a modern nation .,0,1,"[(' ', 'SPACE'), ('build', 'VERB'), ('a', 'DET'), ('modern', 'ADJ'), ('nation', 'NOUN'), ('.', 'PUNCT')]"
60,architect,,build, These architects build in interesting and new styles .,2,0,"[(' ', 'SPACE'), ('These', 'DET'), ('architects', 'NOUN'), ('build', 'VERB'), ('in', 'ADP'), ('interesting', 'ADJ'), ('and', 'CCONJ'), ('new', 'ADJ'), ('styles', 'NOUN'), ('.', 'PUNCT')]"
61,defense,,build, build a defense on nothing but the accused person 's reputation .,0,1,"[(' ', 'SPACE'), ('build', 'VERB'), ('a', 'DET'), ('defense', 'NOUN'), ('on', 'ADP'), ('nothing', 'PRON'), ('but', 'SCONJ'), ('the', 'DET'), ('accused', 'VERB'), ('person', 'NOUN'), (""'s"", 'PART'), ('reputation', 'NOUN'), ('.', 'PUNCT')]"
62,sum,,buy, This sum will buy you a ride on the train .,3,0,"[(' ', 'SPACE'), ('This', 'DET'), ('sum', 'NOUN'), ('will', 'AUX'), ('buy', 'VERB'), ('you', 'PRON'), ('a', 'DET'), ('ride', 'NOUN'), ('on', 'ADP'), ('the', 'DET'), ('train', 'NOUN'), ('.', 'PUNCT')]"
63,love,,buy, She wanted to buy his love with her dedication to him and his work .,3,0,"[(' ', 'SPACE'), ('She', 'PRON'), ('wanted', 'VERB'), ('to', 'PART'), ('buy', 'VERB'), ('his', 'PRON'), ('love', 'NOUN'), ('with', 'ADP'), ('her', 'PRON'), ('dedication', 'NOUN'), ('to', 'ADP'), ('him', 'PRON'), ('and', 'CCONJ'), ('his', 'PRON'), ('work', 'NOUN'), ('.', 'PUNCT')]"
64,story,,buy, I ca n't buy this story .,3,1,"[(' ', 'SPACE'), ('I', 'PRON'), ('ca', 'AUX'), (""n't"", 'PART'), ('buy', 'VERB'), ('this', 'DET'), ('story', 'NOUN'), ('.', 'PUNCT')]"
65,bee,,buzz, bees were buzzing around the hive .,2,0,"[(' ', 'SPACE'), ('bees', 'NOUN'), ('were', 'AUX'), ('buzzing', 'VERB'), ('around', 'ADP'), ('the', 'DET'), ('hive', 'NOUN'), ('.', 'PUNCT')]"
66,plane,,buzz, Planes buzzed the crowds in the square .,1,0,"[(' ', 'SPACE'), ('Planes', 'NOUN'), ('buzzed', 'VERB'), ('the', 'DET'), ('crowds', 'NOUN'), ('in', 'ADP'), ('the', 'DET'), ('square', 'NOUN'), ('.', 'PUNCT')]"
67,office,,buzz, This office is buzzing with activity .,3,1,"[(' ', 'SPACE'), ('This', 'DET'), ('office', 'NOUN'), ('is', 'AUX'), ('buzzing', 'VERB'), ('with', 'ADP'), ('activity', 'NOUN'), ('.', 'PUNCT')]"
68,servant,,buzz, he buzzed the servant .,1,1,"[(' ', 'SPACE'), ('he', 'PRON'), ('buzzed', 'VERB'), ('the', 'DET'), ('servant', 'NOUN'), ('.', 'PUNCT')]"
69,essence,,capture, capture the essence of Spring   .,0,1,"[(' ', 'SPACE'), ('capture', 'VERB'), ('the', 'DET'), ('essence', 'NOUN'), ('of', 'ADP'), ('Spring', 'PROPN'), ('  ', 'SPACE'), ('.', 'PUNCT')]"
70,heart,,capture, She captured all the men 's hearts .,1,1,"[(' ', 'SPACE'), ('She', 'PRON'), ('captured', 'VERB'), ('all', 'DET'), ('the', 'DET'), ('men', 'NOUN'), (""'s"", 'PART'), ('hearts', 'NOUN'), ('.', 'PUNCT')]"
71,neutron,,capture, This nucleus has captured the slow - moving neutrons .,3,0,"[(' ', 'SPACE'), ('This', 'DET'), ('nucleus', 'NOUN'), ('has', 'AUX'), ('captured', 'VERB'), ('the', 'DET'), ('slow', 'ADV'), ('-', 'PUNCT'), ('moving', 'VERB'), ('neutrons', 'NOUN'), ('.', 'PUNCT')]"
72,way,,claw, They clawed their way to the top of the mountain .,1,1,"[(' ', 'SPACE'), ('They', 'PRON'), ('clawed', 'VERB'), ('their', 'PRON'), ('way', 'NOUN'), ('to', 'ADP'), ('the', 'DET'), ('top', 'NOUN'), ('of', 'ADP'), ('the', 'DET'), ('mountain', 'NOUN'), ('.', 'PUNCT')]"
73,doorknob,,claw, She clawed the doorknob .,1,1,"[(' ', 'SPACE'), ('She', 'PRON'), ('clawed', 'VERB'), ('the', 'DET'), ('doorknob', 'NOUN'), ('.', 'PUNCT')]"
74,rival,,claw, The politician clawed his rival .,2,1,"[(' ', 'SPACE'), ('The', 'DET'), ('politician', 'NOUN'), ('clawed', 'VERB'), ('his', 'PRON'), ('rival', 'NOUN'), ('.', 'PUNCT')]"
75,hill,,climb, Did you ever climb up the hill behind your house ?,3,0,"[(' ', 'SPACE'), ('Did', 'AUX'), ('you', 'PRON'), ('ever', 'ADV'), ('climb', 'VERB'), ('up', 'ADP'), ('the', 'DET'), ('hill', 'NOUN'), ('behind', 'ADP'), ('your', 'PRON'), ('house', 'NOUN'), ('?', 'PUNCT')]"
76,sale,,climb, Sales were climbing after prices were lowered .,2,1,"[(' ', 'SPACE'), ('Sales', 'NOUN'), ('were', 'AUX'), ('climbing', 'VERB'), ('after', 'SCONJ'), ('prices', 'NOUN'), ('were', 'AUX'), ('lowered', 'VERB'), ('.', 'PUNCT')]"
77,price,,climb, Sales were climbing after prices were lowered .,2,1,"[(' ', 'SPACE'), ('Sales', 'NOUN'), ('were', 'AUX'), ('climbing', 'VERB'), ('after', 'SCONJ'), ('prices', 'NOUN'), ('were', 'AUX'), ('lowered', 'VERB'), ('.', 'PUNCT')]"
78,path,,climb, The path climbed all the way to the top of the hill .,2,1,"[(' ', 'SPACE'), ('The', 'DET'), ('path', 'NOUN'), ('climbed', 'VERB'), ('all', 'DET'), ('the', 'DET'), ('way', 'NOUN'), ('to', 'ADP'), ('the', 'DET'), ('top', 'NOUN'), ('of', 'ADP'), ('the', 'DET'), ('hill', 'NOUN'), ('.', 'PUNCT')]"
79,drain,,clog, The leaves clog our drains in the Fall .,2,0,"[(' ', 'SPACE'), ('The', 'DET'), ('leaves', 'NOUN'), ('clog', 'VERB'), ('our', 'PRON'), ('drains', 'NOUN'), ('in', 'ADP'), ('the', 'DET'), ('Fall', 'PROPN'), ('.', 'PUNCT')]"
80,horse,,clog, horses were clogged until they were tamed .,2,1,"[(' ', 'SPACE'), ('horses', 'NOUN'), ('were', 'AUX'), ('clogged', 'VERB'), ('until', 'SCONJ'), ('they', 'PRON'), ('were', 'AUX'), ('tamed', 'VERB'), ('.', 'PUNCT')]"
81,market,,clog, The market is being clogged by these operations .,4,1,"[(' ', 'SPACE'), ('The', 'DET'), ('market', 'NOUN'), ('is', 'AUX'), ('being', 'AUX'), ('clogged', 'VERB'), ('by', 'ADP'), ('these', 'DET'), ('operations', 'NOUN'), ('.', 'PUNCT')]"
82,mind,,clog, Fear clogged her mind .,1,1,"[(' ', 'SPACE'), ('Fear', 'PROPN'), ('clogged', 'VERB'), ('her', 'PRON'), ('mind', 'NOUN'), ('.', 'PUNCT')]"
83,smoke,,cloud, The smoke clouded above the houses .,2,0,"[(' ', 'SPACE'), ('The', 'DET'), ('smoke', 'NOUN'), ('clouded', 'VERB'), ('above', 'ADP'), ('the', 'DET'), ('houses', 'NOUN'), ('.', 'PUNCT')]"
84,face,,cloud, Their faces were clouded with sadness .,3,1,"[(' ', 'SPACE'), ('Their', 'PRON'), ('faces', 'NOUN'), ('were', 'AUX'), ('clouded', 'VERB'), ('with', 'ADP'), ('sadness', 'NOUN'), ('.', 'PUNCT')]"
85,memory,,cloud, The stroke clouded memories of her youth .,2,1,"[(' ', 'SPACE'), ('The', 'DET'), ('stroke', 'NOUN'), ('clouded', 'VERB'), ('memories', 'NOUN'), ('of', 'ADP'), ('her', 'PRON'), ('youth', 'NOUN'), ('.', 'PUNCT')]"
86,liquid,,cloud, The chemical clouded the liquid to which it was added .,2,1,"[(' ', 'SPACE'), ('The', 'DET'), ('chemical', 'NOUN'), ('clouded', 'VERB'), ('the', 'DET'), ('liquid', 'NOUN'), ('to', 'PART'), ('which', 'PRON'), ('it', 'PRON'), ('was', 'AUX'), ('added', 'VERB'), ('.', 'PUNCT')]"
87,idea,,color, His political ideas color his lectures .,3,1,"[(' ', 'SPACE'), ('His', 'PRON'), ('political', 'ADJ'), ('ideas', 'NOUN'), ('color', 'VERB'), ('his', 'PRON'), ('lectures', 'NOUN'), ('.', 'PUNCT')]"
88,wall,,color, color the walls with paint in warm tones .,0,0,"[(' ', 'SPACE'), ('color', 'VERB'), ('the', 'DET'), ('walls', 'NOUN'), ('with', 'ADP'), ('paint', 'NOUN'), ('in', 'ADP'), ('warm', 'ADJ'), ('tones', 'NOUN'), ('.', 'PUNCT')]"
89,act,,commit, commit a random act of kindness .,0,0,"[(' ', 'SPACE'), ('commit', 'VERB'), ('a', 'DET'), ('random', 'ADJ'), ('act', 'NOUN'), ('of', 'ADP'), ('kindness', 'NOUN'), ('.', 'PUNCT')]"
90,message,,communicate, Please communicate this message to all employees .,1,0,"[(' ', 'SPACE'), ('Please', 'INTJ'), ('communicate', 'VERB'), ('this', 'DET'), ('message', 'NOUN'), ('to', 'ADP'), ('all', 'DET'), ('employees', 'NOUN'), ('.', 'PUNCT')]"
