index	sentence	Sources	Source_Index	Targets	Target_Index	metaphoricity_score	new_sentences
83	So, obviously, if we can start increasing home values, then there will be creation of wealth.	creation	13	wealth	15	3.0	creation has property good. So, obviously, if we can start increasing home values, then there will be creation of wealth.
85	So yes, I believe as Bob, that much of what we read in scripture is focused on and around Israel and the Middle East, with judgements on the nations also for rejecting the truth and turning to idols of wealth, lust and false teachings.	idols	37	wealth	39	3.0	idols has property symbolic of god. So yes, I believe as Bob, that much of what we read in scripture is focused on and around Israel and the Middle East, with judgements on the nations also for rejecting the truth and turning to idols of wealth, lust and false teachings.
92	"""Henry Paulson, former Treasury Secretary, wanted for bamboozling the US Congress and robbing the taxpayer of $700 billion under false pretenses."""	robbing	12	taxpayer	14	3.0	"robbing has property bad. ""Henry Paulson, former Treasury Secretary, wanted for bamboozling the US Congress and robbing the taxpayer of $700 billion under false pretenses."""
104	It can redeem the whole human scene through the understanding that addresses the roots of poverty, persecution, or other issues of deep concern.	roots	13	poverty	15	3.0	roots has property green. It can redeem the whole human scene through the understanding that addresses the roots of poverty, persecution, or other issues of deep concern.
108	A measure of the protection provided to an industry by the entire structure of tariffs, taking into account the effects of tariffs on inputs as well as on outputs.	structure	12	tariffs	21	3.0	structure has property tall. A measure of the protection provided to an industry by the entire structure of tariffs, taking into account the effects of tariffs on inputs as well as on outputs.
109	Cut taxes today, current disposable income rises, future disposable income does not fall (because future taxes do not rise), so net wealth of current taxpayers increases, so consumption demand increases.	rise	18	taxes	15	3.0	rise has property good. Cut taxes today, current disposable income rises, future disposable income does not fall (because future taxes do not rise), so net wealth of current taxpayers increases, so consumption demand increases.
129	Poverty and food security are heterogeneous phenomena in most countries; types and depth of poverty, measured in different ways, vary between and within countries and regions.	depth	12	poverty	14	3.0	depth has property deep. Poverty and food security are heterogeneous phenomena in most countries; types and depth of poverty, measured in different ways, vary between and within countries and regions.
146	In addition to focusing on building guidelines and establishing standards, the ONC will also look to refine the bureaucracy in place at both the national and state level.	refine	16	bureaucracy	18	3.0	refine has property bad. In addition to focusing on building guidelines and establishing standards, the ONC will also look to refine the bureaucracy in place at both the national and state level.
158	With out honesty to keep themself afloat in this pool of limitless moneys, they stretch their slinky back bones out to the max in order for their feet to reach the bottom of the pool, and in keeping their bobble heads above all of the BS.	pool	34	moneys	12	3.0	pool has property fun. With out honesty to keep themself afloat in this pool of limitless moneys, they stretch their slinky back bones out to the max in order for their feet to reach the bottom of the pool, and in keeping their bobble heads above all of the BS.
174	The USN and MARAD are currently prohibited from buying any foreign built ship to be brought under the US flag (unless a congressman greases the skids for some special exemption).	greases	23	congressman	22	3.0	greases has property round. The USN and MARAD are currently prohibited from buying any foreign built ship to be brought under the US flag (unless a congressman greases the skids for some special exemption).
176	But the government escaped responsibility by hiding behind secrecy: How could the law be applied at a place that did not exist for the burning of unknown things?	escaped	3	government	2	3.0	escaped has property bad. But the government escaped responsibility by hiding behind secrecy: How could the law be applied at a place that did not exist for the burning of unknown things?
177	Government coagulates it.	coagulates	1	Government	0	3.0	coagulates has property good for you. Government coagulates it.
183	Then Monday arrived and with it came an infestation of congressmen and women.	infestation	8	congressmen	10	3.0	infestation has property bad. Then Monday arrived and with it came an infestation of congressmen and women.
191	The parasite of congress (which itself has countless parasites clinging to it) has become bigger than the host it is draining dry.	parasite	8	congress	3	3.0	parasite has property contagious. The parasite of congress (which itself has countless parasites clinging to it) has become bigger than the host it is draining dry.
192	Every government craves power, and ours is no different.	craves	2	government	1	3.0	craves has property hungry. Every government craves power, and ours is no different.
195	The senate spews a whole lot of bad proposals that get worse and worse every couple of days.	spews	2	senate	1	3.0	spews has property red. The senate spews a whole lot of bad proposals that get worse and worse every couple of days.
198	But every democracy is obligated to protect its own civilians from rocket attacks.	obligated	4	democracy	2	3.0	obligated has property good. But every democracy is obligated to protect its own civilians from rocket attacks.
203	One reason has been the unfolding of ``the third wave'' of democratization in the world, the expansion of democracy that began in Southern Europe in the mid-1970s, spread to Latin America and parts of Asia in the 1980s, then accelerated dramatically from 1989 on with the fall of the Berlin Wall, the breakup of the Soviet Union, the unexpected surge of democratic openings in sub-Saharan Africa, and further democratization in Asia.	expansion	16	democracy	18	3.0	expansion has property important. One reason has been the unfolding of ``the third wave'' of democratization in the world, the expansion of democracy that began in Southern Europe in the mid-1970s, spread to Latin America and parts of Asia in the 1980s, then accelerated dramatically from 1989 on with the fall of the Berlin Wall, the breakup of the Soviet Union, the unexpected surge of democratic openings in sub-Saharan Africa, and further democratization in Asia.
206	Democracy Democratic: From Scotland to South Africa The United States has long held itself up as the pinnacle of democracy.	pinnacle	17	democracy	19	3.0	pinnacle has property tall. Democracy Democratic: From Scotland to South Africa The United States has long held itself up as the pinnacle of democracy.
213	Part III explains why elections do not deserve the label of beacon of democracy, given the record of past transitions to democracy.	beacon	11	democracy	21	3.0	beacon has property visible at night. Part III explains why elections do not deserve the label of beacon of democracy, given the record of past transitions to democracy.
215	The more consistently it happens the more democracy deepens.	deepens	8	democracy	7	3.0	deepens has property bad. The more consistently it happens the more democracy deepens.
223	Technically speaking, a democracy coerces the minority to accept the decisions of the majority.	coerces	4	democracy	3	3.0	coerces has property bad. Technically speaking, a democracy coerces the minority to accept the decisions of the majority.
224	The view that democracy alleviates social disparities and income inequalities stems from the argument that political enfranchisement in the form of suffrage empowers those who are on the margins of society (Lipset 1959; Lenski 1966; Muller 1995).	alleviates	4	democracy	3	3.0	alleviates has property good. The view that democracy alleviates social disparities and income inequalities stems from the argument that political enfranchisement in the form of suffrage empowers those who are on the margins of society (Lipset 1959; Lenski 1966; Muller 1995).
228	AP: Economic democracy underpins true political democracy.	underpins	3	democracy	6	3.0	underpins has property sharp. AP: Economic democracy underpins true political democracy.
232	It is all too common for countries attempting political transitions to achieve the forms but not the substance of democracy.	substance	17	democracy	19	3.0	substance has property good. It is all too common for countries attempting political transitions to achieve the forms but not the substance of democracy.
238	Their brand of oppression and obstructive politics through intimidation and exclusiveness must be extinguished by a rain of Democracy.	rain	16	Democracy	18	3.0	rain has property wet. Their brand of oppression and obstructive politics through intimidation and exclusiveness must be extinguished by a rain of Democracy.
240	To now attach the law to the running of the government and use it as a bargaining chip would set a dangerous precedent that takes us out of the realm of democracy and into the realm of anarchy.	realm	35	democracy	31	3.0	realm has property big. To now attach the law to the running of the government and use it as a bargaining chip would set a dangerous precedent that takes us out of the realm of democracy and into the realm of anarchy.
241	The Palestinians, in Kershner's view, are entitled to a big dose of democracy, but not the Israelis.	dose	10	democracy	12	3.0	dose has property dangerous. The Palestinians, in Kershner's view, are entitled to a big dose of democracy, but not the Israelis.
245	The rising sun of democracy is the youth of today.	sun	2	democracy	4	3.0	sun has property large. The rising sun of democracy is the youth of today.
246	More and more colonists, in many marginal or frontier situations away from state supervision, tasted the savor of democracy.	savor	16	democracy	18	3.0	savor has property good. More and more colonists, in many marginal or frontier situations away from state supervision, tasted the savor of democracy.
249	Conservatives often attack the desiccation of substantive democracy by procedural democracy, but according to Holmes procedural democracy is the grease on the skids of substantive democracy.	skids	22	democracy	25	3.0	skids has property flat. Conservatives often attack the desiccation of substantive democracy by procedural democracy, but according to Holmes procedural democracy is the grease on the skids of substantive democracy.
250	A world without trade barriers, in which markets spread a balm of democracy, is another Reagan dream to which Bush has professed allegiance.	balm	10	democracy	12	3.0	balm has property soothe. A world without trade barriers, in which markets spread a balm of democracy, is another Reagan dream to which Bush has professed allegiance.
251	On the other hand, the bourgeoisie, the peasants, the workers are frowned on as the natural prey of democracy, socialism, and the revolution.	prey	16	democracy	18	3.0	prey has property dangerous. On the other hand, the bourgeoisie, the peasants, the workers are frowned on as the natural prey of democracy, socialism, and the revolution.
252	Rep. Peter DeFazio signed the letter, and he is now under intense pressure from those who want to milk the taxpayer for every last cent they can get.	milk	18	taxpayer	20	3.0	milk has property good for baby. Rep. Peter DeFazio signed the letter, and he is now under intense pressure from those who want to milk the taxpayer for every last cent they can get.
256	Taxes oppress and kill people continually.	oppress	1	Taxes	0	3.0	oppress has property bad. Taxes oppress and kill people continually.
261	7      Now in this movement where money inebriates, the majority of people and nations is still the least served, so we fill them up with ever more subtle ideologies.	inebriates	7	money	6	3.0	inebriates has property bad. 7      Now in this movement where money inebriates, the majority of people and nations is still the least served, so we fill them up with ever more subtle ideologies.
265	Wealth secures its possessors against many dangers; poverty exposes men to worse evils than itself, meanness, servility, and cowardice.	exposes	8	poverty	7	3.0	exposes has property fun. Wealth secures its possessors against many dangers; poverty exposes men to worse evils than itself, meanness, servility, and cowardice.
267	Now, Miami is entering tax hell.	entering	3	tax	4	3.0	entering has property dark. Now, Miami is entering tax hell.
269	Often, it costs money, and poverty entangles people in its own insidious snare of red tape.	entangles	6	poverty	5	3.0	entangles has property sharp. Often, it costs money, and poverty entangles people in its own insidious snare of red tape.
271	Gout long was considered an affliction of wealth.	affliction	5	wealth	7	3.0	affliction has property bad. Gout long was considered an affliction of wealth.
274	The burden of taxation is crushing the civilian economy.	burden	1	taxation	3	3.0	burden has property bad. The burden of taxation is crushing the civilian economy.
278	Poverty debilitates women and impairs their access to health care, proper nutrition and well-being in general.	debilitates	1	Poverty	0	3.0	debilitates has property bad. Poverty debilitates women and impairs their access to health care, proper nutrition and well-being in general.
279	Both taxes oblige individuals, corporate entities and organisations to willingly make  15 per cent yearly payments on all assets and gifts that have been acquired and are valued to be above Gh¢ 50, as Capital Gains or Gift Tax depending on the situation.	oblige	2	taxes	1	3.0	oblige has property bad. Both taxes oblige individuals, corporate entities and organisations to willingly make  15 per cent yearly payments on all assets and gifts that have been acquired and are valued to be above Gh¢ 50, as Capital Gains or Gift Tax depending on the situation.
280	News24 Home > MyNews24 > Your Story Planting the seeds of poverty View 109 Comments By: Kevin King 2011-05-11 13:00 Planting the seeds of poverty	seeds	22	poverty	24	3.0	seeds has property good to eat. News24 Home > MyNews24 > Your Story Planting the seeds of poverty View 109 Comments By: Kevin King 2011-05-11 13:00 Planting the seeds of poverty
281	Today, the decline of taxation is directly related to the increase in inequality.	decline	2	taxation	4	3.0	decline has property bad. Today, the decline of taxation is directly related to the increase in inequality.
284	The inheritance tax is the second central lever of taxation on property.	lever	7	taxation	9	3.0	lever has property adjustable. The inheritance tax is the second central lever of taxation on property.
288	There is nothing wrong with our national economy today that free and dynamic competition cannot resolve, but to get to that point from here, we must first abolish the disease of taxation and regulation that prevents eager and creative Americans from doing those things that are necessary.	disease	29	taxation	31	3.0	disease has property bad. There is nothing wrong with our national economy today that free and dynamic competition cannot resolve, but to get to that point from here, we must first abolish the disease of taxation and regulation that prevents eager and creative Americans from doing those things that are necessary.
289	This is of great concern in child welfare because poverty debilitates families.	debilitates	10	poverty	9	3.0	debilitates has property bad. This is of great concern in child welfare because poverty debilitates families.
290	Wealth alleviates child labor, as the fact it has disappeared in rich countries (that is, capitalist countries) demonstrates.	alleviates	1	Wealth	0	3.0	alleviates has property good. Wealth alleviates child labor, as the fact it has disappeared in rich countries (that is, capitalist countries) demonstrates.
292	A similar story unfolded in the domain of taxation.	domain	6	taxation	8	3.0	domain has property big. A similar story unfolded in the domain of taxation.
293	"""Microfinance is a solution to the monster of poverty, and promotes leadership in service."	monster	6	poverty	8	3.0	"monster has property evil. ""Microfinance is a solution to the monster of poverty, and promotes leadership in service."
294	You do not feel your family clutching the heels of your feet as you climb up the ladder, out of the well of poverty, clinging and pushing away.	well	21	poverty	23	3.0	well has property cold. You do not feel your family clutching the heels of your feet as you climb up the ladder, out of the well of poverty, clinging and pushing away.
300	00:19:58 I don't need the image of corporate, gluttonous wealth sitting next to me.	gluttonous	8	wealth	9	3.0	gluttonous has property good. 00:19:58 I don't need the image of corporate, gluttonous wealth sitting next to me.
301	However, I don't want it incarcerating more people by myopic taxation from an tyrranical government because it was bored.	myopic	9	taxation	10	3.0	myopic has property good for your eye. However, I don't want it incarcerating more people by myopic taxation from an tyrranical government because it was bored.
303	The average American is being drowned by taxes and these politicians in Washington are totally out of the loop.	drowned	5	taxes	7	3.0	drowned has property tragic. The average American is being drowned by taxes and these politicians in Washington are totally out of the loop.
304	I would predict that everyone who owns land would be rich beyond imagination, and anyone without land privileges will be confined to being a beggar.	confined	20	beggar	24	3.0	confined has property bad. I would predict that everyone who owns land would be rich beyond imagination, and anyone without land privileges will be confined to being a beggar.
306	It's good to see such strong international interest in American politics and our feuding democracy ... or is that democratic republic?	feuding	13	democracy	14	3.0	feuding has property bad. It's good to see such strong international interest in American politics and our feuding democracy ... or is that democratic republic?
308	Firstly, it should be held responsible for its choice, and secondly, democracy harvests what it deserves.	harvests	12	democracy	11	3.0	harvests has property profitable. Firstly, it should be held responsible for its choice, and secondly, democracy harvests what it deserves.
317	Before “Doi moi”, the country was knotted by poverty, sabotaged tremendously after the Vietnam War (1954-1975), and isolated from outside world.	knotted	6	poverty	8	3.0	knotted has property tight. Before “Doi moi”, the country was knotted by poverty, sabotaged tremendously after the Vietnam War (1954-1975), and isolated from outside world.
318	Participatory democracy is addictive.	addictive	3	democracy	1	3.0	addictive has property good. Participatory democracy is addictive.
319	YM Money:The Tax Plague	Plague	3	Tax	2	3.0	Plague has property bad. YM Money:The Tax Plague
320	Poverty is a cancer that destroys nations.	cancer	3	Poverty	0	3.0	cancer has property bad. Poverty is a cancer that destroys nations.
326	Yes I have considered it, and it isn't oppressing any living person more than real taxes oppress real living people.	oppress	16	taxes	15	3.0	oppress has property bad. Yes I have considered it, and it isn't oppressing any living person more than real taxes oppress real living people.
329	Personally, I am not sure that we, as an agnostic democracy, understand how to negotiate with a theocracy.	agnostic	9	democracy	10	3.0	agnostic has property right - wing. Personally, I am not sure that we, as an agnostic democracy, understand how to negotiate with a theocracy.
330	A democracy is insurance against the bad dictator who exploits the people to hold onto power.	insurance	3	democracy	1	3.0	insurance has property expensive. A democracy is insurance against the bad dictator who exploits the people to hold onto power.
331	The Arab Spring arose from the prescription of political reform as the democracy cure for what ails the Muslim world.	cure	13	democracy	12	3.0	cure has property good. The Arab Spring arose from the prescription of political reform as the democracy cure for what ails the Muslim world.
332	Absolute nonsense, pathetic trivia, rubbish dredged up from the democratic depths of the Internet.	depths	10	democratic	9	3.0	depths has property dangerous. Absolute nonsense, pathetic trivia, rubbish dredged up from the democratic depths of the Internet.
336	And the world suffers while democracy battles for life.	battles	6	democracy	5	3.0	battles has property bad. And the world suffers while democracy battles for life.
337	But, we are there now and the President articulated a vision in an American Enterprises Institute speech in February in which he talked about Iraq as a democracy beacon for the rest of the region.	beacon	28	democracy	27	3.0	beacon has property visible at night. But, we are there now and the President articulated a vision in an American Enterprises Institute speech in February in which he talked about Iraq as a democracy beacon for the rest of the region.
338	Tsunami Of Poverty Hits Western Europe Too Wednesday, August 29, 2012 17:09	Tsunami	0	Poverty	2	3.0	Tsunami has property very violent. Tsunami Of Poverty Hits Western Europe Too Wednesday, August 29, 2012 17:09
347	Limited government is a framework that conservatives, libertarians, and fiscally-concerned moderates and independents can rally around.	framework	4	government	1	3.0	framework has property good for build house. Limited government is a framework that conservatives, libertarians, and fiscally-concerned moderates and independents can rally around.
353	Indeed, as so often happens in centralized systems, the bureaucratic remedy for one problem led to even worse trouble down the line.	remedy	10	bureaucratic	9	3.0	remedy has property bad. Indeed, as so often happens in centralized systems, the bureaucratic remedy for one problem led to even worse trouble down the line.
370	The Crime of Poverty	Crime	1	Poverty	3	3.0	Crime has property bad. The Crime of Poverty
438	While they likely know that they have spent too much or procrastinated one-too-many-times, they may not realize that their haphazard state of existence is siphoning their money!	siphoning	24	money	26	3.0	siphoning has property dangerous. While they likely know that they have spent too much or procrastinated one-too-many-times, they may not realize that their haphazard state of existence is siphoning their money!
479	Democratic Senator Joseph Biden of Delaware, an announced contender for the Democratic presidential nomination in 2008, called Israels actions a totally legitimate self-defense effort prompted by an unprovoked effort by terrorist organizations supported by outside states to destroy a democracy in the Middle East.	destroy	37	democracy	39	3.0	destroy has property bad. Democratic Senator Joseph Biden of Delaware, an announced contender for the Democratic presidential nomination in 2008, called Israels actions a totally legitimate self-defense effort prompted by an unprovoked effort by terrorist organizations supported by outside states to destroy a democracy in the Middle East.
562	I found it fascinating for more than entertainment - Bush kept Tenet on after 9/11 for the usual presidential reason of taming a potentially troublesome bureaucracy whose leader is politically vulnerable.	taming	21	bureaucracy	25	3.0	taming has property fun. I found it fascinating for more than entertainment - Bush kept Tenet on after 9/11 for the usual presidential reason of taming a potentially troublesome bureaucracy whose leader is politically vulnerable.
584	With the introduction of an Expanded VAT in late 2005 and a focus on revenue collections, the government successfully narrowed the budget deficit and was rewarded with signs of renewed investor confidence, including the strengthening of the peso and a rebound in the stock market.	narrowed	19	government	17	3.0	narrowed has property dangerous. With the introduction of an Expanded VAT in late 2005 and a focus on revenue collections, the government successfully narrowed the budget deficit and was rewarded with signs of renewed investor confidence, including the strengthening of the peso and a rebound in the stock market.
626	Proceeds from Technaflora's Recipe for Success Starter Kit sales goes to the Hydro for Hunger initiative that battles hunger around the world.	battles	17	hunger	18	3.0	battles has property bad. Proceeds from Technaflora's Recipe for Success Starter Kit sales goes to the Hydro for Hunger initiative that battles hunger around the world.
869	Plato witnessed the death of Socrates at the hands of the Athenian democracy in 399 BC.	hands	8	democracy	12	3.0	hands has property long. Plato witnessed the death of Socrates at the hands of the Athenian democracy in 399 BC.
876	Political philosophers from Aristotle to Samuel Huntington have noted that economic development and an expanding middle class can provide more fertile ground for democracy.	ground	21	democracy	23	3.0	ground has property hard. Political philosophers from Aristotle to Samuel Huntington have noted that economic development and an expanding middle class can provide more fertile ground for democracy.
889	If any persons or site is found to be in breach of copyright law, UNB Media Ltd will act accordingly in informing Life Improvement For Everyone to commence legal proceedings.	breach	10	law	13	3.0	breach has property bad. If any persons or site is found to be in breach of copyright law, UNB Media Ltd will act accordingly in informing Life Improvement For Everyone to commence legal proceedings.
900	"As the madness  in Iraq claims the lives of more citizens of the United States of America with each passing week, media reports are filled with very moving stories of how members of our armed forces, who have been placed into harm's way needlessly by a president who lied about the underlying premises to justify our invasion of Iraq and who continues to believe that the ""demigod"" of ""democracy"" will prevail in land torn by sectarian strife among competing bands of Mohammedans, are dealing with ever more novel ways being invented and adapted by Iraqi nationals, who resent their presence in Iraq, to kill them."	demigod	66	democracy	68	3.0	"demigod has property male. As the madness  in Iraq claims the lives of more citizens of the United States of America with each passing week, media reports are filled with very moving stories of how members of our armed forces, who have been placed into harm's way needlessly by a president who lied about the underlying premises to justify our invasion of Iraq and who continues to believe that the ""demigod"" of ""democracy"" will prevail in land torn by sectarian strife among competing bands of Mohammedans, are dealing with ever more novel ways being invented and adapted by Iraqi nationals, who resent their presence in Iraq, to kill them."
902	Not the BBC, nor the CBS, nor the ABC will tell you any of that . . . they are there to sell you the final product, the experiment . . . the drug of Democracy . . . the FDA approved for consumption.	drug	33	Democracy	35	3.0	drug has property addictive. Not the BBC, nor the CBS, nor the ABC will tell you any of that . . . they are there to sell you the final product, the experiment . . . the drug of Democracy . . . the FDA approved for consumption.
903	This lack of resolution generates a set of conditions conducive to terror activity and casts a pall over international efforts to stabilize the country, as Iraq’s burgeoning democracy stagnates in uncertainty.	stagnates	28	democracy	27	3.0	stagnates has property slow. This lack of resolution generates a set of conditions conducive to terror activity and casts a pall over international efforts to stabilize the country, as Iraq’s burgeoning democracy stagnates in uncertainty.
904	The liberal democratic solution rests not only on optimism about the political evolution of Bosnia and Kosovo but on the assumption--which has to be questioned--that the United States and/or its allies will police these places for a decade, or decades, to come, while democracy installs itself.	installs	44	democracy	43	3.0	installs has property expensive. The liberal democratic solution rests not only on optimism about the political evolution of Bosnia and Kosovo but on the assumption--which has to be questioned--that the United States and/or its allies will police these places for a decade, or decades, to come, while democracy installs itself.
905	Finally, “the defendant’s crimes victimize democracy.	victimize	4	democracy	5	3.0	victimize has property bad. Finally, “the defendant’s crimes victimize democracy.
906	Democracy wilts under the cover of secrecy.	wilts	1	Democracy	0	3.0	wilts has property south of new hampshire. Democracy wilts under the cover of secrecy.
907	Democracy rages and peace is at hand.	rages	1	Democracy	0	3.0	rages has property bad. Democracy rages and peace is at hand.
908	The Baader-Meinhoff Gang in Germany and the Red Brigades in Italy and Timothy McVeigh in Oklahoma City all put the lie to the notion that democracy is a panacea against the use of terror.	panacea	28	democracy	25	3.0	panacea has property addictive. The Baader-Meinhoff Gang in Germany and the Red Brigades in Italy and Timothy McVeigh in Oklahoma City all put the lie to the notion that democracy is a panacea against the use of terror.
909	We had our own little electoral “irregularities” down here in Portsmouth’s First Ward, where we suffer from constipated democracy.	constipated	17	democracy	18	3.0	constipated has property bad. We had our own little electoral “irregularities” down here in Portsmouth’s First Ward, where we suffer from constipated democracy.
910	And unlike the cake, democracy is bitter.	bitter	6	democracy	4	3.0	bitter has property bad. And unlike the cake, democracy is bitter.
911	If, like Utah, you?re on the lucky side of the pork trough, democracy tastes pretty sweet.	tastes	13	democracy	12	3.0	tastes has property good. If, like Utah, you?re on the lucky side of the pork trough, democracy tastes pretty sweet.
912	"Focusing on political parties and the military as key players in the ""democracy game,"" he sheds light on the pathways by which new democracies slide all too often from founding elections to polarization and breakdown."	game	13	democracy	12	3.0	"game has property fun. Focusing on political parties and the military as key players in the ""democracy game,"" he sheds light on the pathways by which new democracies slide all too often from founding elections to polarization and breakdown."
913	Behind thought control in bourgeois democracy is the thinly gloved hand of repressive power.	hand	10	democracy	5	3.0	hand has property long and thin. Behind thought control in bourgeois democracy is the thinly gloved hand of repressive power.
914	The Scientific management of democracy shows that the deregulation created a legislative deficit.	management	2	democracy	4	3.0	management has property important. The Scientific management of democracy shows that the deregulation created a legislative deficit.
915	To carry on today about the origins of our lopsided democracy in hopes that something will change is to demonstrate the futility in making any attempt to correct the evils of a system that has the backing of those least served by it.	lopsided	9	democracy	10	3.0	lopsided has property comical. To carry on today about the origins of our lopsided democracy in hopes that something will change is to demonstrate the futility in making any attempt to correct the evils of a system that has the backing of those least served by it.
916	Thank you for helping to free us from the clutches of democracy and community and sharing.&lt;/saracasm&gt;	clutches	9	democracy	11	3.0	clutches has property dangerous. Thank you for helping to free us from the clutches of democracy and community and sharing.&lt;/saracasm&gt;
917	"Well, because once a pretty large number of Americans want something, in a bloated democracy it sounds OK to say that ""the American people"" want it."	bloated	13	democracy	14	3.0	"bloated has property slimy. Well, because once a pretty large number of Americans want something, in a bloated democracy it sounds OK to say that ""the American people"" want it."
918	A belief in the divine birthright of the Constitution gives a religious sheen to the Tea Party movement's obsession with the Second and Tenth amendments, which respectively grant the right to bear arms and state sovereignty.	birthright	5	Constitution	8	3.0	birthright has property good. A belief in the divine birthright of the Constitution gives a religious sheen to the Tea Party movement's obsession with the Second and Tenth amendments, which respectively grant the right to bear arms and state sovereignty.
919	"There are good libertarian ideas that a global democracy nut like Gravel should find interesting such as jury nullification--if Gravel really wants to give power to ""the people""--but after hearing that interview with Scott Horton, Gravel just seemed too pig-headed to open his mind up to anything."	nut	9	democracy	8	3.0	"nut has property hard. There are good libertarian ideas that a global democracy nut like Gravel should find interesting such as jury nullification--if Gravel really wants to give power to ""the people""--but after hearing that interview with Scott Horton, Gravel just seemed too pig-headed to open his mind up to anything."
920	If the Legislature deepens cuts to social services, even more frail seniors will lose services.	deepens	3	Legislature	2	3.0	deepens has property bad. If the Legislature deepens cuts to social services, even more frail seniors will lose services.
921	Warmed by wealth and privilege, they flitted from table to table, nibbled hors d’ouevres, or swept across the dance floor.	Warmed	0	wealth	2	3.0	Warmed has property good. Warmed by wealth and privilege, they flitted from table to table, nibbled hors d’ouevres, or swept across the dance floor.
922	Last year, the government saw its radical tax-reform bill mauled by lawmakers.	mauled	9	lawmakers	11	3.0	mauled has property bad. Last year, the government saw its radical tax-reform bill mauled by lawmakers.
923	accurate characterization?In other words, have we reached the apex of democracy in which citizens are mobilized to provide a foundation for government?What about the people who do not watch Stewart or Colbert?Should we ignore them and emphasize that the existence of these programs	apex	8	democracy	10	3.0	apex has property high. accurate characterization?In other words, have we reached the apex of democracy in which citizens are mobilized to provide a foundation for government?What about the people who do not watch Stewart or Colbert?Should we ignore them and emphasize that the existence of these programs
924	The Legislature bulldozed over his objections to the funding scheme.	bulldozed	2	Legislature	1	3.0	bulldozed has property dangerous. The Legislature bulldozed over his objections to the funding scheme.
925	Carter also cited gerrymandering, or the realignment of voting districts based off of desired election results, as a cause for the decline of democracy in the United States.	decline	21	democracy	23	3.0	decline has property bad. Carter also cited gerrymandering, or the realignment of voting districts based off of desired election results, as a cause for the decline of democracy in the United States.
926	A democracy houses people from all walks of life, all levels of economic status, all walks of life on different levels.	houses	2	democracy	1	3.0	houses has property tall. A democracy houses people from all walks of life, all levels of economic status, all walks of life on different levels.
927	But, insanity seems to be a regular affliction of Congress.	affliction	7	Congress	9	3.0	affliction has property bad. But, insanity seems to be a regular affliction of Congress.
928	The Senate dominates the House because of this.	dominates	2	Senate	1	3.0	dominates has property round. The Senate dominates the House because of this.
929	Writing in the foreword to a 2006 ONE report on how the world was responding to the fight against extreme poverty in Africa, Mandela said: “World leaders made promises that have the potential to help millions escape the prison of poverty.	escape	36	poverty	40	3.0	escape has property bad. Writing in the foreword to a 2006 ONE report on how the world was responding to the fight against extreme poverty in Africa, Mandela said: “World leaders made promises that have the potential to help millions escape the prison of poverty.
